Débit quotidien et niveau d'eau quotidien
  ID,PARAM,Date,Valeur,SYM
02OA016,1,2000/01/01,7530,
02OA016,1,2000/01/02,7170,
02OA016,1,2000/01/03,7070,
02OA016,1,2000/01/04,7080,
02OA016,1,2000/01/05,7000,
02OA016,1,2000/01/06,7160,
02OA016,1,2000/01/07,7160,
02OA016,1,2000/01/08,7090,
02OA016,1,2000/01/09,7060,
02OA016,1,2000/01/10,7050,
02OA016,1,2000/01/11,7370,
02OA016,1,2000/01/12,7730,
02OA016,1,2000/01/13,7310,B
02OA016,1,2000/01/14,7260,B
02OA016,1,2000/01/15,7060,B
02OA016,1,2000/01/16,6910,B
02OA016,1,2000/01/17,6910,B
02OA016,1,2000/01/18,7360,B
02OA016,1,2000/01/19,7350,B
02OA016,1,2000/01/20,7340,B
02OA016,1,2000/01/21,7330,B
02OA016,1,2000/01/22,7110,B
02OA016,1,2000/01/23,7160,B
02OA016,1,2000/01/24,7460,B
02OA016,1,2000/01/25,7610,B
02OA016,1,2000/01/26,7460,B
02OA016,1,2000/01/27,7360,B
02OA016,1,2000/01/28,7410,B
02OA016,1,2000/01/29,7410,B
02OA016,1,2000/01/30,7110,B
02OA016,1,2000/01/31,7160,B
02OA016,1,2000/02/01,7150,B
02OA016,1,2000/02/02,7140,B
02OA016,1,2000/02/03,7120,B
02OA016,1,2000/02/04,7110,B
02OA016,1,2000/02/05,6760,B
02OA016,1,2000/02/06,6660,B
02OA016,1,2000/02/07,7310,B
02OA016,1,2000/02/08,7510,B
02OA016,1,2000/02/09,7360,B
02OA016,1,2000/02/10,7370,B
02OA016,1,2000/02/11,7390,B
02OA016,1,2000/02/12,6810,B
02OA016,1,2000/02/13,6560,B
02OA016,1,2000/02/14,7260,B
02OA016,1,2000/02/15,7310,B
02OA016,1,2000/02/16,7160,B
02OA016,1,2000/02/17,7310,B
02OA016,1,2000/02/18,7260,B
02OA016,1,2000/02/19,6810,B
02OA016,1,2000/02/20,6910,B
02OA016,1,2000/02/21,7060,B
02OA016,1,2000/02/22,7010,B
02OA016,1,2000/02/23,7070,
02OA016,1,2000/02/24,7010,
02OA016,1,2000/02/25,6910,
02OA016,1,2000/02/26,6810,
02OA016,1,2000/02/27,6800,
02OA016,1,2000/02/28,7320,
02OA016,1,2000/02/29,8770,
02OA016,1,2000/03/01,8730,
02OA016,1,2000/03/02,8420,
02OA016,1,2000/03/03,8010,
02OA016,1,2000/03/04,7530,
02OA016,1,2000/03/05,7070,
02OA016,1,2000/03/06,7120,
02OA016,1,2000/03/07,7120,
02OA016,1,2000/03/08,7030,
02OA016,1,2000/03/09,7110,
02OA016,1,2000/03/10,7370,
02OA016,1,2000/03/11,7380,
02OA016,1,2000/03/12,6900,
02OA016,1,2000/03/13,7000,
02OA016,1,2000/03/14,7180,
02OA016,1,2000/03/15,7090,
02OA016,1,2000/03/16,7270,
02OA016,1,2000/03/17,7640,
02OA016,1,2000/03/18,7290,
02OA016,1,2000/03/19,6820,
02OA016,1,2000/03/20,6750,
02OA016,1,2000/03/21,7120,
02OA016,1,2000/03/22,7390,
02OA016,1,2000/03/23,7110,
02OA016,1,2000/03/24,7030,
02OA016,1,2000/03/25,7070,
02OA016,1,2000/03/26,7240,
02OA016,1,2000/03/27,6990,
02OA016,1,2000/03/28,7050,
02OA016,1,2000/03/29,7600,
02OA016,1,2000/03/30,8090,
02OA016,1,2000/03/31,8250,
02OA016,1,2000/04/01,8180,
02OA016,1,2000/04/02,8010,
02OA016,1,2000/04/03,7730,
02OA016,1,2000/04/04,7780,
02OA016,1,2000/04/05,8420,
02OA016,1,2000/04/06,8240,
02OA016,1,2000/04/07,8500,
02OA016,1,2000/04/08,8690,
02OA016,1,2000/04/09,9360,
02OA016,1,2000/04/10,9740,
02OA016,1,2000/04/11,9000,
02OA016,1,2000/04/12,8690,
02OA016,1,2000/04/13,8380,
02OA016,1,2000/04/14,7930,
02OA016,1,2000/04/15,7990,
02OA016,1,2000/04/16,8760,
02OA016,1,2000/04/17,8530,
02OA016,1,2000/04/18,8250,
02OA016,1,2000/04/19,7960,
02OA016,1,2000/04/20,7510,
02OA016,1,2000/04/21,7330,
02OA016,1,2000/04/22,7670,
02OA016,1,2000/04/23,8140,
02OA016,1,2000/04/24,8240,
02OA016,1,2000/04/25,8210,
02OA016,1,2000/04/26,7780,
02OA016,1,2000/04/27,7650,
02OA016,1,2000/04/28,7410,
02OA016,1,2000/04/29,7380,
02OA016,1,2000/04/30,7490,
02OA016,1,2000/05/01,7420,
02OA016,1,2000/05/02,7430,
02OA016,1,2000/05/03,7230,
02OA016,1,2000/05/04,7020,
02OA016,1,2000/05/05,7110,
02OA016,1,2000/05/06,7170,
02OA016,1,2000/05/07,7370,
02OA016,1,2000/05/08,7370,
02OA016,1,2000/05/09,7430,
02OA016,1,2000/05/10,8260,
02OA016,1,2000/05/11,9360,
02OA016,1,2000/05/12,9750,
02OA016,1,2000/05/13,9980,
02OA016,1,2000/05/14,9870,
02OA016,1,2000/05/15,9550,
02OA016,1,2000/05/16,8960,
02OA016,1,2000/05/17,8700,
02OA016,1,2000/05/18,8870,
02OA016,1,2000/05/19,9300,
02OA016,1,2000/05/20,9190,
02OA016,1,2000/05/21,9520,
02OA016,1,2000/05/22,9260,
02OA016,1,2000/05/23,9050,
02OA016,1,2000/05/24,8940,
02OA016,1,2000/05/25,9070,
02OA016,1,2000/05/26,8840,
02OA016,1,2000/05/27,8920,
02OA016,1,2000/05/28,8900,
02OA016,1,2000/05/29,8750,
02OA016,1,2000/05/30,8780,
02OA016,1,2000/05/31,8740,
02OA016,1,2000/06/01,8470,
02OA016,1,2000/06/02,8410,
02OA016,1,2000/06/03,8570,
02OA016,1,2000/06/04,8390,
02OA016,1,2000/06/05,8220,
02OA016,1,2000/06/06,8280,
02OA016,1,2000/06/07,8330,
02OA016,1,2000/06/08,8110,
02OA016,1,2000/06/09,8260,
02OA016,1,2000/06/10,8130,
02OA016,1,2000/06/11,8060,
02OA016,1,2000/06/12,8280,
02OA016,1,2000/06/13,8210,
02OA016,1,2000/06/14,8120,
02OA016,1,2000/06/15,8200,
02OA016,1,2000/06/16,8160,
02OA016,1,2000/06/17,8460,
02OA016,1,2000/06/18,8360,
02OA016,1,2000/06/19,8380,
02OA016,1,2000/06/20,8460,
02OA016,1,2000/06/21,8380,
02OA016,1,2000/06/22,8690,
02OA016,1,2000/06/23,8500,
02OA016,1,2000/06/24,8570,
02OA016,1,2000/06/25,8670,
